Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities
Deo Kumar Dhan,Jharkhand Party, 1 ,Graduate,53,22679920,Lohardaga,2400000
Dinesh Oraon,AITC,0,12th Pass,26,9232000,Lohardaga,800000
Ekus Dhan,IND,0,Graduate,65,2066713,Lohardaga,0
Kalindar Oraon,IND,0,12th Pass,43,1636800,Lohardaga,25000
Raghunath Mahli,IND,0,8th Pass,47,1804321,Lohardaga,250000
Saniya Oraon,IND, 1 ,8th Pass,49,1048129,Lohardaga,0
Sanjay Oraon,IND,0,8th Pass,41,1352000,Lohardaga,0
Sharvan Kumar Panna,BSP,0,Literate,40,1973500,Lohardaga,50000
Sukhdeo Bhagat,INC, 1 ,Post Graduate,57,21094142,Lohardaga,3935029
Vishnu Dayal Ram,BJP,0,Graduate,68,32273873,Palamu,90922
Amindra Paswan,Bhartiya Lok Seva Dal,0,10th Pass,33,3787000,Palamu,75000
Anjana Bhuiyan,BSP,0,8th Pass,47,12484775,Palamu,2512110
Baban Bhuiya,Jai Prakash Janata Dal,0,12th Pass,31,200426,Palamu,0
Balkesh Prasad Paswan,Ambedkar National Congress,0,10th Pass,54,11100511,Palamu,500000
Dinesh Ram,IND, 1 ,10th Pass,40,1750038,Palamu,0
Ghuran Ram,RJD, 5 ,Graduate,51,15227170,Palamu,793697
Jorawar Ram,IND, 1 ,Literate,69,22700000,Palamu,0
Madan Ram,CPI(ML) Red Star,0,12th Pass,52,843000,Palamu,105000
Prayag Ram,Proutist Sarva Samaj,0,Graduate,45,244200,Palamu,0
Ramji Paswan,IND, 1 ,Graduate,65,6801000,Palamu,50000
Satyendra Kumar Paswan,IND,0,12th Pass,40,10585000,Palamu,200000
Shravan Kumar Ravi,IND,0,10th Pass,37,955600,Palamu,22000
Shyam Narayan Bhuiya,Bahujan Mukti Party, 2 ,8th Pass,61,17130000,Palamu,0
Sushma Mehta,CPI(ML)(L), 3 ,12th Pass,40,3545751,Palamu,412090
Uday Kumar Paswan,Jan Sangharsh Virat Party,0,10th Pass,0,477000,Palamu,0
Umesh Kumar Paswan,Voters Party International,0,10th Pass,34,1000000,Palamu,50000
Vijay Kumar,IND,0,12th Pass,28,2116596,Palamu,0
Vijay Ram,IND,0,8th Pass,36,131000,Palamu,0
Vijay Kumar Hansdak,JMM,0,10th Pass,36,12919555,Rajmahal,2743560
Baidhnath Pahadiya,BSP,0,8th Pass,31,1854160,Rajmahal,0
Barnad Hembrom,IND,0,Graduate Professional,56,3232000,Rajmahal,0
Christopher Murmu,IND,0,12th Pass,30,86000,Rajmahal,0
Gopin Soren,CPI(M),0,Graduate,56,2402310,Rajmahal,10000
Hemlal Murmu,BJP,0,Graduate,63,56991946,Rajmahal,17588570
Mahashay Tudu,Hindusthan Nirman Dal,0,8th Pass,36,1457100,Rajmahal,0
Mahendra Hansda,IND, 11 ,10th Pass,43,5987000,Rajmahal,0
Mahesh Pahadiya,IND,0,Literate,48,1048500,Rajmahal,25000
Mandal Hansda,IND,0,12th Pass,65,872228,Rajmahal,0
Mangal Marandi,IND,0,5th Pass,34,171000,Rajmahal,0
Mary Nisha Hansdak,Bahujan Mukti Party,0,12th Pass,35,603000,Rajmahal,0
Monika Kisku,AITC,0,Graduate,32,4946922,Rajmahal,950000
Neeraj Hembrom,AIFB,0,Graduate,44,23588789,Rajmahal,2508000
Sanjay Seth,BJP,0,Graduate Professional,60,14044267,Ranchi,100000
Alok Kumar,Rashtriya Jansangharsh Swaraj Party,0,Graduate,26,70000,Ranchi,0
Amar Kumar Mahto,RPI(A),0,12th Pass,29,4880000,Ranchi,0
Anjani Pandey,IND,0,Graduate Professional,61,30000,Ranchi,0
Bidyadhar Prasad,BSP,0,Post Graduate,36,19425000,Ranchi,0
Jay Prakash Prasad,IND,0,12th Pass,47,5258000,Ranchi,0
Jitendra Thakur,IND,0,Others,63,11506560,Ranchi,0
Nand Kishor Yadav,IND,0,10th Pass,64,2850413,Ranchi,18000
Parmeshwar Mahto,Jharkhand Party,0,12th Pass,31,1403787,Ranchi,0
Rajesh Kumar,IND,0,8th Pass,54,955551,Ranchi,0
Rajesh Thapa,IND,0,10th Pass,31,100800,Ranchi,0
Raju Mahto,IND, 1 ,Graduate,52,2007000,Ranchi,178000
Ram Tahal. Choudhary,IND,0,10th Pass,77,45998584,Ranchi,0
Ramjit Mahto,Proutist Sarva Samaj,0,Post Graduate,38,3000000,Ranchi,60000
Ranjit Mahto,Peoples Party of India (Democratic),0,Post Graduate,54,1672800,Ranchi,0
Satish Singh,IND,0,Graduate Professional,35,6242098,Ranchi,300000
Sidheshwar Singh,SUCI(C),0,Literate,72,819326,Ranchi,0
Subodh Kant Sahay,INC, 1 ,Graduate,67,73566185,Ranchi,11873779
Sunita Munda,Ambedkarite Party of India,0,Post Graduate,28,265000,Ranchi,20000
Vikas Chandra Sharma,CPI(ML) Red Star,0,Post Graduate,40,112000,Ranchi,0
Geeta Kora,INC, 1 ,Post Graduate,35,25249018,Singhbhum,1928508
Anil Soren,IND,0,Graduate,31,2030615,Singhbhum,36000
Chandra Mohan Hembrom,SUCI(C),0,Post Graduate,35,94310,Singhbhum,0
Hari Orawn,Kalinga Sena, 2 ,Graduate,46,2552400,Singhbhum,1110385
Krishna Mardi,Jharkhand Mukti Morcha (Ulgulan),0,Graduate,61,1958965,Singhbhum,800000
Laxman Giluwa,BJP, 3 ,12th Pass,57,19516408,Singhbhum,1265285
Pardeshi Lal Munda,BSP, 1 ,12th Pass,31,611726,Singhbhum,0
Pratap Singh Banara,Ambedkarite Party of India,0,Post Graduate,25,52985,Singhbhum,0
Pushpa Sinku,IND,0,Post Graduate,29,125000,Singhbhum,0
Gaddigoudar Parvatagouda Chandanagouda,BJP,0,Graduate Professional,68,43980663,Bagalkot,7987991
Adagal Rajendra,Bahujan Mukti Party,0,12th Pass,43,1858950,Bagalkot,850000
Basanagouda Ramanagouda Meti,Secular Democratic Congress,0,10th Pass,47,10775000,Bagalkot,787000
Jamindar Maruti,Karnataka Jantha Paksha,0,Post Graduate,37,2500000,Bagalkot,0
M Shashikumar Hlepadi,Uttama Prajaakeeya Party,0,5th Pass,44,29973500,Bagalkot,1100000
Mahmad Husen Mujawar,BSP,0,Graduate,36,50000,Bagalkot,0
Muttappa Mudakappa Hirekumbi,Raita Bharat Party,0,Literate,45,1000000,Bagalkot,0
Muttu S Surakod,IND,0,10th Pass,33,3099000,Bagalkot,960000
Parashuram Laxman Neelnaik,Republican Party of India (Karnataka), 1 ,12th Pass,48,3125000,Bagalkot,0
Pendari Buddesab Makabulsab,IND,0,Graduate,41,590590,Bagalkot,0
Ramanagoud S Balawad,Hindustan Janta Party,0,Post Graduate,39,273750,Bagalkot,0
Ravi Shivappa Padasalagi,IND, 1 ,Post Graduate,42,29214743,Bagalkot,9743277
Shivarajkumar Ajjappa Talawar,IND,0,Graduate Professional,29,109000,Bagalkot,0
Veena Kashappanavar,INC,0,Graduate,38,78375219,Bagalkot,26784734
P. C. Mohan,BJP,0,12th Pass,55,755529306,Bangalore Central,312521957
A. Christhuraj,IND,0,10th Pass,41,691000,Bangalore Central,375000
Arun Prasad A,Viduthalai Chiruthaigal Katchi,0,12th Pass,44,46500,Bangalore Central,0
B. Krishna Prasad,"Proutist Bloc, India",0,12th Pass,64,8110000,Bangalore Central,550000
C. B. K. Rama,IND,0,Illiterate,42,152317000,Bangalore Central,0
C.J. Aditya,IND,0,12th Pass,35,353000,Bangalore Central,0
Dr. Philip Mariyan,IND,0,Others,50,2218000,Bangalore Central,0
Francis Binny Jose,IND,0,Graduate Professional,39,625000,Bangalore Central,450000
Hunsur K. Chandrashekar,Democratic Prajakranthi Party Secularist,0,Graduate,40,6375000,Bangalore Central,0
Jenifar J. Russell,IND,0,Graduate Professional,38,5180922,Bangalore Central,0
Kempurajan,Republican Sena,0,Graduate Professional,42,41000,Bangalore Central,0
M.K. Pasha,BSP,0,Graduate,34,31000,Bangalore Central,0
Mellegatti Shridevi ,Uttama Prajaakeeya Party,0,Post Graduate,41,1629828,Bangalore Central,0
Nawaz Dilber,Karnataka Karmikara Paksha,0,10th Pass,42,1100000,Bangalore Central,13000
Pradeep Mendonca,IND,0,Graduate,54,5859181,Bangalore Central,0
Prakash Raj,IND, 1 ,12th Pass,53,320963268,Bangalore Central,38320377
Raparti Anil Kumar,IND,0,Graduate,37,1252000,Bangalore Central,0
Rizwan Arshad,INC,0,Graduate,39,158434648,Bangalore Central,45079101
S. Mohan Kumar,IND,0,Post Graduate,64,21125300,Bangalore Central,0
S. Pandurangan,IND,0,10th Pass,65,7550000,Bangalore Central,1109000
Srinivasan R,Indian Christian Front,0,Graduate,48,760000,Bangalore Central,0
Syed Asif Bukhari,IND,0,Graduate,46,368000,Bangalore Central,0
D.V. Sadananda Gowda,BJP,0,Graduate Professional,66,209384539,Bangalore North,104302653
Abdul Azeez,Karnataka Pragnyavantha Janatha Party,0,8th Pass,46,622054,Bangalore North,58000
Abdul Basheer,IND,0,10th Pass,71,1350000,Bangalore North,10132000
Abdul Karim Hashimpeer Desai,IND,0,Post Graduate,61,16599316,Bangalore North,12400000
Ahmed Khan,Bahujan Maha Party,0,10th Pass,33,7139,Bangalore North,0
Amirtha Jai Kumar Essac Yesaiah,Karnataka Karmikara Paksha,0,Others,43,213000,Bangalore North,0
C. Ravi Kumar,IND,0,5th Pass,50,Nil,Bangalore North,0
Dr. Meer Layaq Hussain,IND,0,Graduate Professional,58,20000,Bangalore North,0
K.N. Jagadesh Kumar,IND, 1 ,Post Graduate,41,66824637,Bangalore North,661000
Krishna Byregowda,INC,0,Post Graduate,46,132509044,Bangalore North,15596951
Krishna Murthy V .,Right to Recall Party,0,Graduate Professional,39,6124000,Bangalore North,80000
Krishnaiah,IND, 1 ,8th Pass,45,722500,Bangalore North,25000
Kumar L.,Bharatiya Prajagala Kalyana Paksha,0,10th Pass,54,7916090,Bangalore North,0
L. Nagaraj,IND,0,Others,62,21470000,Bangalore North,30000
N. Narayana Swamy Navakoti,Jai Vijaya Bharathi Party,0,10th Pass,52,5468000,Bangalore North,410000
N.Hanume Gowda,IND, 2 ,12th Pass,56,9052030,Bangalore North,1242906
Parameshwar Gowda,IND,0,Graduate,43,300000,Bangalore North,0
Prasanna Kumar Iyengar,IND,0,Post Graduate,43,10115799,Bangalore North,5557000
Santhosh M.,Uttama Prajaakeeya Party, 1 ,Graduate Professional,33,1401411,Bangalore North,0
Shiva Manjesh K.S.,IND,0,Graduate Professional,27,20620000,Bangalore North,0
Sumatha K.S.,IND,0,Graduate,35,21396307,Bangalore North,0
Sun Star D.Jairam,Gareeb Aadmi Party,0,Others,65,2130000,Bangalore North,0
Syed Hydri Babloo,BSP,0,Graduate,48,200512,Bangalore North,0
Thimmaraj Gowda (Shenganadu),IND,0,8th Pass,43,17249678,Bangalore North,1200000
Tulasappa K Dasar,IND,0,Post Graduate,50,3080000,Bangalore North,0
Umesh Babu Pillegowda,IND,0,Post Graduate,31,864407,Bangalore North,550000
V. Venkataraju,IND,0,8th Pass,44,428000,Bangalore North,50000
Venkatesa Setty,IND,0,Graduate,74,330000,Bangalore North,0
Venu M.,IND,0,Illiterate,39,860000,Bangalore North,0
Vinay Kumar V.Nayak,IND,0,Post Graduate,32,180572,Bangalore North,117945
D.K. Suresh,INC, 5 ,12th Pass,52,3388920717,Bangalore Rural,519320305
Ashwathnarayangowda,BJP, 2 ,10th Pass,59,293535096,Bangalore Rural,0
B. Gopal,IND,0,8th Pass,50,850000,Bangalore Rural,489650
D M Madegowda,Republican Sena,0,10th Pass,38,849106,Bangalore Rural,489650
Dr Chinnappa Y Chikkahagade,BSP,0,Graduate,43,8810000,Bangalore Rural,500000
Dr. M Venkataswamy,RPI(A),0,Post Graduate,64,595000,Bangalore Rural,0
Eswara,IND,0,Graduate,65,80000,Bangalore Rural,0
H.T. Chikkaraju,IND,0,10th Pass,52,4050000,Bangalore Rural,1250000
J T Prakash,IND,0,10th Pass,62,4563000,Bangalore Rural,0
M.C. Devaraju,IND,0,10th Pass,34,205000,Bangalore Rural,50000
Manjunatha M,Uttama Prajaakeeya Party,0,10th Pass,32,913400,Bangalore Rural,598250
N. Krishnappa,Pyramid Party of India,0,10th Pass,67,8625000,Bangalore Rural,0
Raghu Janagere,IND,0,Graduate Professional,32,6828000,Bangalore Rural,4700000
Rama T C,SUCI(C),0,Graduate,43,379033,Bangalore Rural,0
Venkateshappa,Sarva Janata Party,0,8th Pass,51,225000,Bangalore Rural,0
Tejasvi Surya,BJP,0,Graduate Professional,28,1346593,Bangalore South,0
A.Raju,BSP,0,Graduate,58,54419000,Bangalore South,460000
Ambrose D Mello,IND,0,Post Graduate,51,70000,Bangalore South,0
B.Chikka Nagesha,IND,0,10th Pass,61,739626,Bangalore South,0
B.K.Hariprasad,INC,0,Graduate,64,150801799,Bangalore South,34400000
B.Sreenivasulu,IND,0,Post Graduate,41,2011625,Bangalore South,0
Bhagya.S,IND,0,Others,43,87780000,Bangalore South,7878679
Brahmanand.N,IND,0,8th Pass,52,34225000,Bangalore South,0
Chetan Chaman,IND,0,Graduate,36,1437610,Bangalore South,0
Dr. Banuprakash A.S,Pyramid Party of India,0,Post Graduate,43,13151631,Bangalore South,928000
Dr.John Basco Philips,Indian Christian Front,0,Others,47,130000,Bangalore South,0
G Venkatesh Bhovi,IND,0,10th Pass,58,3417000,Bangalore South,5000
K.C.Nagabhushana Reddy,IND,0,Graduate Professional,51,160347647,Bangalore South,16727517
Kollur Manjunatha Naik,IND, 3 ,Graduate Professional,38,2521500,Bangalore South,120000
Madesh.V,IND,0,12th Pass,43,637553,Bangalore South,0
Manohar Iyer,IND,0,Graduate,40,119497520,Bangalore South,2080647
Prashantha.C,IND,0,Post Graduate,30,148000,Bangalore South,0
Ravikumara.T,Pragatishil Samajwadi Party (Lohia),0,Graduate Professional,37,1348000,Bangalore South,450000
Santhosh Min B,IND,0,Others,43,4040,Bangalore South,0
Syed Sadiq Pasha,Karnataka Karmikara Paksha,0,8th Pass,44,5293600,Bangalore South,305000
Thyagaraj,Republican Sena,0,10th Pass,35,723000,Bangalore South,0
Vatal Nagaraj,Kannada Chalavali Vatal Paksha,0,10th Pass,70,65560974,Bangalore South,1310271
Yogeesh Nagaraj,IND,0,12th Pass,35,61045000,Bangalore South,0
Angadi Suresh,BJP,0,Graduate Professional,63,366164525,Belgaum,198479638
Anand Ramesh Patil,IND,0,Graduate Professional,54,866102,Belgaum,250000
Anil Baban Hegade,IND,0,10th Pass,42,246837,Belgaum,0
Ashutosh Shashikant Kamble,IND,0,10th Pass,27,30129,Belgaum,0
Badaroddin Mohammadyusuf Kamdod,BSP,0,Graduate,43,18012500,Belgaum,0
Buland Deepak Dalavi,IND,0,12th Pass,44,1449699,Belgaum,0
Chetak Kumar Yallappa Kamble,IND,0,Graduate,33,110000,Belgaum,0
Dhananjay Rajaram Patil,IND,0,12th Pass,42,6730605,Belgaum,3520000
Dilshaad Sikandar Tahashildar,RPI(A),0,Literate,44,95000,Belgaum,0
Dr.Virupakshappa Sadhunavar,INC,0,Graduate Professional,69,315866105,Belgaum,225214094
Gajanan Amrut Thokanekar,IND,0,12th Pass,51,212500,Belgaum,0
Ganesh Daddikar,IND, 1 ,Others,42,1820007,Belgaum,116326
Gopal Balavantrao Desai,IND,0,10th Pass,60,5800000,Belgaum,250000
Kallappa Krishnappa Kowadkar,IND,0,10th Pass,38,5141500,Belgaum,30000
Kavita Deepak Kole,IND,0,10th Pass,36,250600,Belgaum,0
Krishnakant Kamanna Birje,IND,0,10th Pass,69,3724000,Belgaum,100000
Lakshmanarav Melage,IND,0,Graduate,85,896000,Belgaum,0
Laxman Bhimarao Dalavi,IND,0,10th Pass,44,468000,Belgaum,66970
Mahadev Maruti Manganakar,IND,0,10th Pass,45,870200,Belgaum,0
Manjunath Rajappanavar,Uttama Prajaakeeya Party,0,Graduate,38,2212500,Belgaum,0
Maruti Siddappa Chougule,IND,0,10th Pass,51,2980500,Belgaum,0
Megharaj Shivagoudappa Khanagoudar,IND,0,10th Pass,30,Nil,Belgaum,0
Nagesh Subhash Bobate,IND,0,10th Pass,26,93500,Belgaum,0
Nanda Maruti Kodachwadkar,IND,0,10th Pass,54,3795000,Belgaum,400000
Neelkanth Mahadev Patil,IND,0,12th Pass,52,40801000,Belgaum,725000
Niteen Dhondiba Anandache,IND,0,Graduate Professional,48,570169,Belgaum,0
Onkarsingh C Bhatia,IND,0,10th Pass,57,57620000,Belgaum,1500000
Pandurang Mallappa Pattan,IND,0,10th Pass,61,25200,Belgaum,0
Prabhakar Bhujang Patil,IND,0,10th Pass,51,85200,Belgaum,0
Prakash Balappa Nesarkar,IND,0,10th Pass,48,35500,Belgaum,0
Pranam Prakash Patil,IND,0,12th Pass,40,212500,Belgaum,0
Rajendra Yallappa Patil,IND,0,10th Pass,44,240500,Belgaum,100000
Raju Changappa Divatage,IND,0,5th Pass,41,932500,Belgaum,0
Ramchandra Dattoba Patil,IND,0,10th Pass,64,334000,Belgaum,0
Ramchandra Krishna Gaonkar,IND,0,8th Pass,38,1736000,Belgaum,15000
Ranjit Kallappa Patil,IND, 1 ,10th Pass,41,4460500,Belgaum,400000
Sachin Manohar Nikam,IND,0,10th Pass,42,152500,Belgaum,0
Sachin Shantaram Kelavekar,IND,0,12th Pass,31,1549200,Belgaum,0
Sandeep Vasant Lad,IND,0,Graduate,35,250500,Belgaum,0
Sanjay Kamble,IND,0,8th Pass,39,586000,Belgaum,0
Shankar Chogule,IND,0,Post Graduate,64,3534061,Belgaum,400000
Shankar Pandappa Rathod,IND,0,10th Pass,50,10775000,Belgaum,500000
Shivaraj Narayan Patil,IND,0,12th Pass,54,270570,Belgaum,0
Shrikant Balkrishna Kadam,IND,0,10th Pass,31,3145814,Belgaum,2000000
Shubham Vikrant Shelke,IND,0,10th Pass,25,294000,Belgaum,0
Sunil Guddakayu,IND,0,Graduate,34,7484000,Belgaum,0
Sunil Vittal Dasar,IND,0,10th Pass,31,688500,Belgaum,500000
Suresh Basappa Maralingannavar,IND,0,Post Graduate,46,1509000,Belgaum,30000
Suresh Khemanna Rajukar,IND,0,Graduate,58,413773,Belgaum,0
Uday Naik,IND,0,Graduate,29,401000,Belgaum,65000
Uday Ramappa Kundargi,IND,0,Graduate Professional,54,29650000,Belgaum,0
Vijay Krishna Madar,IND,0,Graduate,40,305301,Belgaum,50000
Vijay Laxman Patil,IND,0,Graduate,59,6706796,Belgaum,0
Vinayak Balakrishna More,IND,0,Others,26,269796,Belgaum,500000
Vinayak Gopal Gunjatkar,IND,0,Others,48,26633646,Belgaum,1188000
Vishwanath Buwaji,IND,0,10th Pass,27,75294,Belgaum,0
Y. Devendrappa,BJP,0,5th Pass,67,40107878,Bellary,250000
A. Devadas,SUCI(C),0,8th Pass,51,1943531,Bellary,0
B. Eshwarappa,SHS, 1 ,8th Pass,40,304000,Bellary,1350000
B. Raghu,Pyramid Party of India,0,12th Pass,35,202855,Bellary,0
K. Gulappa,BSP,0,12th Pass,69,9378000,Bellary,300000
Naveen Kumar. S,Bharat Prabhat Party,0,Graduate,29,837500,Bellary,500000
Nayakara Ramappa,Indian Labour Party (Ambedkar Phule),0,Post Graduate,30,910000,Bellary,0
P. D. Ramanayaka,Republican Party of India (Karnataka),0,10th Pass,43,293970,Bellary,315000
T. Veeresh,Samajwadi Forward Bloc,0,10th Pass,35,1360778,Bellary,30000
V. S. Ugrappa,INC,0,Graduate Professional,65,108217325,Bellary,22231164
Yeruru Pampapathi,IND,0,12th Pass,60,1600000,Bellary,0
Bhagwanth Khuba,BJP, 1 ,Graduate Professional,50,51836416,Bidar,10239000
Abdus Sattar Mujahed,Akhil Bharatiya Muslim League (Secular), 1 ,Graduate,53,2585000,Bidar,0
Ambresh Kencha,Uttama Prajaakeeya Party,0,Graduate,36,17381000,Bidar,926000
Dayanand,Ambedkarite Party of India,0,10th Pass,32,17000,Bidar,75000
Eshwar,INC,0,Graduate Professional,57,123313691,Bidar,7332800
Maulappa,IND,0,Graduate Professional,41,2846000,Bidar,936000
Maulasab,IND,0,Post Graduate,63,1552000,Bidar,0
Md Merajuddin,Bahujan Maha Party,0,8th Pass,34,130800,Bidar,0
Mohammed Abdul Wakeel,Bharat Prabhat Party,0,10th Pass,47,785000,Bidar,0
Mohammed Yousuf,Praja Satta Party,0,10th Pass,42,103950,Bidar,0
Moulvi Zameruddin,National Development Party,0,Graduate Professional,65,2401259,Bidar,100000
Rajambi,Bhartiya Bahujan Kranti Dal,0,5th Pass,56,230000,Bidar,0
Rajkumar,Purvanchal Janta Party (Secular),0,Post Graduate,33,1180000,Bidar,0
Ravi,IND,0,Graduate Professional,48,8360000,Bidar,650000
S.H Bukhari,BSP,0,10th Pass,65,10212000,Bidar,0
Saibanna,IND,0,Graduate Professional,28,721300,Bidar,0
Santosh,Bharatiya Jan Kranti Dal (Democratic),0,10th Pass,34,5160000,Bidar,0
Shaik Abdul Gaffar,IND,0,Post Graduate,44,340512,Bidar,0
Sharad,IND,0,12th Pass,46,7428000,Bidar,90000
Shivaraj,IND,0,Graduate,66,2942000,Bidar,85000
Shrimanth Yevate Patil,IND,0,Post Graduate,67,50000,Bidar,0
Sugriv Bharat Kachave,Kranti Kari Jai Hind Sena,0,8th Pass,29,20000,Bidar,0
Jigajinagi Ramesh Chandappa,BJP,0,Graduate,66,504122985,Bijapur,1600000
Balaji Dyamanna Waddar,IND, 1 ,10th Pass,34,211500,Bijapur,125000
Dadasab Siddappa Bagayat,IND,0,12th Pass,46,17776767,Bijapur,850000
Dhareppa Mahadev Ardhavar,IND,0,Graduate Professional,33,3226500,Bijapur,675000
Dondiba Ramu Rathod,IND,0,5th Pass,42,7870917,Bijapur,76000
Dr. Sunita Devanand Chavan,JD(S),0,Doctorate,42,49482018,Bijapur,14184713
Gurubasava. P . Rabakavi,Uttama Prajaakeeya Party,0,12th Pass,25,21000,Bijapur,92000
Pujari Shrinath Sangappa,BSP, 3 ,Graduate Professional,36,2680100,Bijapur,0
Ramappa Harijan,IND, 3 ,10th Pass,36,4184000,Bijapur,60000
Rudrappa Deyappa Chalawadi,Bharipa Bahujan Mahasangh,0,Post Graduate,55,4163500,Bijapur,200000
Shrivenkateshwar Maha Swamiji,Hindustan Janta Party,0,Graduate,31,9,Bijapur,45000
Yamanappa Vittal Gunadal,Republican Party of India (Karnataka), 2 ,8th Pass,37,370000,Bijapur,0
V Srinivas Prasad,BJP,0,Post Graduate,71,143804441,Chamarajanagar,324909
Anand Jivan Ram,IND,0,10th Pass,33,50000,Chamarajanagar,0
Dr Shivakumara,BSP,0,Doctorate,42,16580750,Chamarajanagar,11600000
G.D. Rajagopal,IND,0,10th Pass,49,23000,Chamarajanagar,0
Hanur Nagaraju,Uttama Prajaakeeya Party,0,Post Graduate,49,550100,Chamarajanagar,98000
M Pradeep Kumar,IND,0,12th Pass,33,165000,Chamarajanagar,0
N Ambarish,IND,0,12th Pass,32,105000,Chamarajanagar,100000
Prasanna Kumar B,Karnataka Praja Party (RaithaParva),0,Graduate Professional,30,1556524,Chamarajanagar,192544
R Dhruvanarayana,INC,0,Post Graduate,58,92418254,Chamarajanagar,2190481
Subbaiah,Indian New Congress Party,0,12th Pass,50,37000,Chamarajanagar,0
B.N.Bache Gowda,BJP,0,Graduate Professional,76,1153501141,Chikkballapur,0
Abdulkarim Desai,IND,0,Post Graduate,61,8599316,Chikkballapur,3100000
Alanguru Kanakalakshmi,IND,0,10th Pass,30,3920000,Chikkballapur,0
D.Palya Khadar Subhan Khan,Samajwadi Janata Party(Karnataka),0,10th Pass,48,6450000,Chikkballapur,0
Dr. C.S.Dwarakanath,BSP,0,Post Graduate,65,40844395,Chikkballapur,0
L. Nagaraj,IND,0,Others,62,21470000,Chikkballapur,30000
M.Veerappa Moily,INC,0,Graduate Professional,79,234515884,Chikkballapur,104316683
Muniraju.G,Uttama Prajaakeeya Party,0,Others,30,36399,Chikkballapur,0
Nagendra Rao Shinde,Karnataka Jantha Paksha,0,Post Graduate,43,16019934,Chikkballapur,511131
Nalina.K.S,IND,0,12th Pass,26,66925,Chikkballapur,0
Nasrulla,IND,0,Literate,38,17000,Chikkballapur,0
Nazir Ahmed,Karnataka Karmikara Paksha,0,10th Pass,62,7537378,Chikkballapur,0
Phaniraj.S.V,IND,0,Others,38,3053000,Chikkballapur,575000
S.R.Nageshareddy,Ambedkar Samaj Party,0,8th Pass,36,670000,Chikkballapur,0
S.Varalakshmi,CPI(M), 3 ,12th Pass,48,969310,Chikkballapur,0
Annasaheb Shankar Jolle,BJP,0,12th Pass,55,344922831,Chikkodi,195595693
Appasaheb Shripati Kurane,Bharipa Bahujan Mahasangh,0,12th Pass,37,1184890,Chikkodi,0
Jitendra Subhash Nerle,IND,0,10th Pass,44,34771,Chikkodi,0
Kallappa Adiveppa Gudasi,IND,0,12th Pass,63,6185000,Chikkodi,900000
Machchendra Davalu Kadapure,BSP,0,8th Pass,49,186398,Chikkodi,0
Magdum Ismailmagdum,RPI,0,10th Pass,58,2531500,Chikkodi,281000
Mohan Gurappa Motannavar,IND,0,Graduate Professional,43,1392350,Chikkodi,255000
Prakash Babanna Hukkeri,INC,0,10th Pass,72,192138555,Chikkodi,3881000
Praveenkumar Baligatti,Uttama Prajaakeeya Party,0,Graduate Professional,27,32000,Chikkodi,0
Shrinik Annasaheb Jangate,IND,0,12th Pass,40,1000000,Chikkodi,160000
Vishwnath Kalloli Wajantri,IND,0,12th Pass,29,151500,Chikkodi,40000
A Narayanaswamy,BJP,0,Graduate,62,96197642,Chitradurga,0
Arunachalam Y,Pyramid Party of India,0,Post Graduate,34,1599000,Chitradurga,0
B N Chandrappa,INC,0,Post Graduate,64,48222730,Chitradurga,0
C H Narayanaswamy,IND,0,5th Pass,62,3097437,Chitradurga,0
D Pennappa Turuvanur,IND,0,Graduate,48,530000,Chitradurga,0
Devendrappa,Uttama Prajaakeeya Party,0,10th Pass,42,1576000,Chitradurga,0
Ganesh,IND,0,Illiterate,58,111000,Chitradurga,0
Kumar Y,IND, 1 ,8th Pass,46,5386644,Chitradurga,818173
L Rangappa,IND, 1 ,Graduate Professional,67,48273444,Chitradurga,2300000
L Venugopal,IND,0,Others,32,3332000,Chitradurga,1600000
Lokesha M K,IND,0,Graduate Professional,40,351520,Chitradurga,0
Mahanthesh C U,BSP, 1 ,12th Pass,38,555210,Chitradurga,0
Niranjana A D Cheelangi,Ambedkar Samaj Party,0,Post Graduate,38,421700,Chitradurga,35000
R Hanumanthappa,IND,0,Others,70,1870700,Chitradurga,630000
Ramesha V,IND,0,Post Graduate,39,2429000,Chitradurga,480000
S Meetyanaik,Pragatishil Samajwadi Party (Lohia),0,Graduate,48,2441136,Chitradurga,900000
Thippeswamy T,IND,0,10th Pass,63,3550000,Chitradurga,0
V S Bhutharaja,IND,0,Post Graduate,31,700000,Chitradurga,100000
Nalin Kumar Kateel,BJP, 4 ,10th Pass,52,14678300,Dakshina Kannada,4450945
Abdul Hameed,IND,0,5th Pass,42,668000,Dakshina Kannada,0
Alexander,IND, 1 ,Graduate,61,30510500,Dakshina Kannada,850000
Deepak Rajesh Coelho,IND,0,12th Pass,43,4415000,Dakshina Kannada,0
H. Suresh Poojary,IND,0,5th Pass,47,277000,Dakshina Kannada,0
Maxim Pinto,IND,0,10th Pass,55,24860000,Dakshina Kannada,15780000
Mithun M Rai,INC, 1 ,Graduate,34,32963608,Dakshina Kannada,14804098
